[s0112]
[decrement CAITLYN]

REBECCA: "Sorry, Cait, I'm exhausted. Find someone else."
CAIT: "You're a lousy hypocrite, Rebecca, you know that? You'll go traipsing around with Max or Shibin or Pete or any of those worthless kids but not with me, huh?"
REBECCA: "Not exactly, I mean - "
CAIT: "Fine. I will find someone else, Rebecca. I thought you were on my side."
[exit CAIT]
SOPHIE: "What did she want?"
REBECCA: "I don't really know. She had some unreasonable request or other and she tends to throw a fit when she's refused outright. Maybe I should've been more subtle..."
SOPHIE: "Maybe. Why didn't you just go with her?"
REBECCA: "I'm not going to do something if I don't feel like it."
SOPHIE: "Even for a friend?"
REBECCA: "I don't want to open that can of worms, Sophie. It wasn't worth it; that's all you need to know."
SOPHIE: "You're probably right."

Sophie quiets up again, and Max is nowhere in sight. I'd rather not deal with Cait, Pete or Shibin at the moment, and that leaves me with very little to do. In some sense, maybe that's a good thing. I'll catch a nap before the evening meal.

[goto s0043]
